time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577836999.99999213,0.06518455,0.00535891,0.00000225,70712.00000000,0.06635101,0.000000,0.000000
1577837000.09983110,0.06517080,0.00485583,0.00000221,70711.00000000,0.06237827,0.000000,0.000000
1577837000.19968009,0.06515838,0.00486706,0.00000230,70849.00000000,0.06262551,0.000000,0.000000
1577837000.29952097,0.06511457,0.00419943,0.00000220,70922.00000000,0.05613264,0.000000,0.000000
1577837000.39935207,0.06504396,0.00368263,0.00000213,71027.00000000,0.05049865,0.000000,0.000000
1577837000.49999094,0.06497274,0.00374472,0.00000224,71153.00000000,0.05023099,0.000000,0.000000
1577837000.59983110,0.06490484,0.00378570,0.00000223,71220.00000000,0.05078183,0.000000,0.000000
1577837000.69967103,0.06483326,0.00434560,0.00000215,71253.00000000,0.04987328,0.000000,0.000000
1577837000.79950500,0.06479157,0.00461759,0.00000228,71437.00000000,0.05603572,0.000000,0.000000
1577837000.89935684,0.06473757,0.00469341,0.00000223,71663.00000000,0.05334290,0.000000,0.000000
1577837000.99997592,0.06469267,0.00503574,0.00000236,71990.00000000,0.05517431,0.000000,0.000000
1577837001.09981894,0.06463320,0.00501392,0.00000220,72218.00000000,0.05196569,0.000000,0.000000
1577837001.19965315,0.06456624,0.00418384,0.00000217,71803.00000000,0.05023813,0.000000,0.000000
1577837001.29948497,0.06450882,0.00448126,0.00000219,72068.00000000,0.05216198,0.000000,0.000000
1577837001.39932394,0.06448537,0.00486794,0.00000223,72298.00000000,0.05942144,0.000000,0.000000
1577837001.49995899,0.06445948,0.00542800,0.00000220,72601.00000000,0.05884142,0.000000,0.000000
1577837001.59979010,0.06444826,0.00571997,0.00000233,72899.00000000,0.06200182,0.000000,0.000000
1577837001.69963288,0.06444500,0.00576145,0.00000235,73041.00000000,0.06373115,0.000000,0.000000
1577837001.79947710,0.06443585,0.00555524,0.00000225,73243.00000000,0.06242232,0.000000,0.000000
1577837001.89932013,0.06441245,0.00563086,0.00000223,73517.00000000,0.05924180,0.000000,0.000000
1577837001.99994397,0.06440172,0.00524785,0.00000228,73549.00000000,0.06201980,0.000000,0.000000
1577837002.09977794,0.06440246,0.00486661,0.00000241,73806.00000000,0.06456715,0.000000,0.000000
1577837002.19962382,0.06437636,0.00530703,0.00000231,74062.00000000,0.05853078,0.000000,0.000000
1577837002.29946113,0.06433913,0.00474836,0.00000230,74210.00000000,0.05596117,0.000000,0.000000
1577837002.39929914,0.06429894,0.00417672,0.00000230,74328.00000000,0.05521654,0.000000,0.000000
1577837002.49994016,0.06425641,0.00396356,0.00000230,74474.00000000,0.05460087,0.000000,0.000000
1577837002.59977078,0.06423265,0.00421580,0.00000237,74602.00000000,0.05881550,0.000000,0.000000
1577837002.69960809,0.06421093,0.00429385,0.00000230,74727.00000000,0.05923757,0.000000,0.000000
1577837002.79945183,0.06419960,0.00430103,0.00000241,74811.00000000,0.06159463,0.000000,0.000000
1577837002.89928699,0.06417884,0.00467839,0.00000229,74947.00000000,0.05938289,0.000000,0.000000
1577837002.99992704,0.06415790,0.00417220,0.00000232,75081.00000000,0.05929970,0.000000,0.000000
1577837003.09976292,0.06414531,0.00451459,0.00000233,75147.00000000,0.06121152,0.000000,0.000000
1577837003.19959593,0.06412943,0.00441302,0.00000224,75282.00000000,0.06041341,0.000000,0.000000
1577837003.29944015,0.06411111,0.00419654,0.00000222,75339.00000000,0.05980558,0.000000,0.000000
1577837003.39928007,0.06409065,0.00461176,0.00000220,75422.00000000,0.05926274,0.000000,0.000000
1577837003.49991393,0.06407140,0.00435931,0.00000218,75557.00000000,0.05950830,0.000000,0.000000
1577837003.59974408,0.06406025,0.00473878,0.00000216,75676.00000000,0.06140807,0.000000,0.000000
1577837003.69956899,0.06405458,0.00498040,0.00000218,75838.00000000,0.06269912,0.000000,0.000000
1577837003.79940414,0.06405460,0.00538864,0.00000216,76059.00000000,0.06405880,0.000000,0.000000
1577837003.89964390,0.06405914,0.00524301,0.00000219,76145.00000000,0.06515242,0.000000,0.000000
1577837003.99947691,0.06406352,0.00550922,0.00000216,76337.00000000,0.06512417,0.000000,0.000000
1577837004.09932113,0.06407198,0.00581512,0.00000222,76521.00000000,0.06612810,0.000000,0.000000
1577837004.19996810,0.06408314,0.00522491,0.00000230,76559.00000000,0.06680689,0.000000,0.000000
1577837004.29980707,0.06408638,0.00516949,0.00000223,76791.00000000,0.06487895,0.000000,0.000000
1577837004.39964795,0.06409775,0.00553652,0.00000226,77035.00000000,0.06689479,0.000000,0.000000
1577837004.49948001,0.06411372,0.00554640,0.00000226,77243.00000000,0.06805967,0.000000,0.000000
1577837004.59931588,0.06412646,0.00644275,0.00000224,77419.00000000,0.06728400,0.000000,0.000000
1577837004.69994998,0.06414865,0.00762150,0.00000232,77475.00000000,0.06967505,0.000000,0.000000
1577837004.79979396,0.06414960,0.00720151,0.00000221,77483.00000000,0.06438672,0.000000,0.000000
1577837004.89964223,0.06411718,0.00430364,0.00000220,77589.00000000,0.05597907,0.000000,0.000000
1577837004.99948692,0.06407152,0.00382988,0.00000226,77760.00000000,0.05256619,0.000000,0.000000
1577837005.09932208,0.06400776,0.00313912,0.00000215,77868.00000000,0.04787733,0.000000,0.000000
